"Abbreviation","title","publisher","society","price","pages","charpp","citations","foundingyear","subs","field"
"EmpEc","Empirical Economics","Springer","no",464,719,3366,82,1976,24,"General"
"ERoAE","European Review of Agricultural Economics","Oxford Univ Press","no",255,573,3228,144,1974,21,"Agricultural Economics"
"JoPKE","Journal of Post-Keynesian Economics","M.E Sharpe","no",186,550,2360,170,1978,225,"General"
"JWE","Japan and the World Economy","Elsevier","no",355,577,3443,56,1988,27,"Area Studies"
"AEP","Australian Economic Papers","Blackwell","no",115,495,3792,51,1961,61,"General"
"Om","Omega","Elsevier","no",805,780,4028,183,1973,101,"Business"
"JoFi","Journal of Finance","Am. Finance Assn","yes",226,2272,3036,3791,1945,799,"Finance"
"JoFo","Journal of Forecasting","Wiley","no",760,516,4032,317,1982,137,"Specialized"
"BP","Brookings Papers","Brookings Inst.","no",62,394,2368,67,1970,646,"Public Finance"
"JoRI","Journal of Risk and Insurance","Am. Risk & Ins. Assn","yes",90,720,2924,193,1964,263,"Insurance"
"Ecnmt","Econometrica","Blackwell","yes",178,1482,2992,7943,1932,346,"General"
"JoES","Journal of Economic Surveys","Blackwell","no",355,674,2835,61,1987,45,"General"
"MnchSc","Manchester School","Blackwell","no",336,618,2772,140,1930,57,"General"
"DC","Development and Change","Blackwell","no",318,888,2623,154,1970,83,"Development"
"IJoGT","International Journal of Game Theory","Springer","no",436,582,3366,382,1971,52,"Theory"
"DvE","Developing Economies","Inst of Devel Econ","no",80,539,3345,76,1963,87,"Development"
"JoPolEc","Journal of Political Economy","Univ of Chicago Press","no",159,1669,2640,6697,1892,737,"General"
"JoMCB","Journal of Money Credit & Banking","Ohio State Univ. Press","no",110,860,3168,834,1969,512,"Macroeconomics"
"HoPE","History of Political Economy","Duke Univ Press","no",132,767,2280,183,1969,288,"Economic History"
"JoLE","Journal of Labor Economics","Univ of Chicago Press","no",138,600,2728,733,1983,269,"Labor"
"EJ","Economic Journal","Blackwell","no",301,1983,3036,2540,1890,531,"General"
"NTJ","National Tax Journal","National Tax Assn.","no",90,785,2940,502,1948,552,"Public Finance"
"IME","Insurance  Mathematics & Economics","Elsevier","no",835,745,4263,61,1877,15,"Insurance"
"RoRPE","Review of Radical Political Economics","Elsevier","no",242,665,2688,27,1968,202,"Specialized"
"JoEH","Journal of Economic History","Cambridge Univ Pres","no",115,1200,4029,737,1941,643,"Economic History"
"SAJoEH","South African Journal of Economic History","So Afr ec history assn","no",20,309,1782,22,1986,59,"Economic History"
"EcmtrT","Econometric Theory","Cambridge Univ Pres","no",280,899,2948,390,1985,65,"Econometrics"
"US","Urban Studies","Carfax","no",742,1711,3747,508,1964,222,"Urban and Regional"
"JoCMS","Journal of Common Market Studies","Blackwell","no",506,710,2747,299,1962,214,"Area Studies"
"CJE","Canadian Journal of Economics","Blackwell","yes",120,1247,2992,556,1967,305,"General"
"JoE&MS","Journal of Economics & Management Strategy","MIT Press","no",135,602,2394,42,1992,37,"Management Science"
"JoREFE","Journal of Real Estate Finance and Economics","Kluwer","no",476,630,3432,162,1990,59,"Business"
"LabEc","Labour Economics","Elsevier","no",344,609,2967,24,1864,15,"Labor"
"RoES","Review of Economic Studies","Blackwell","no",180,761,3626,2411,1933,325,"General"
